Device: cuda
GPU: NVIDIA GeForce RTX 4070
PlayNet: 569,509 params | DeclNet: 118,785 params

================================================================================
Training: 2000 epochs × 2048 games = ~4,096,000 games
PPO: lr=0.0003 ent=0.02 epochs=6 bs=1024
================================================================================
E  81 | dev=20.3 med=17 perf=1.4% | pl=+0.0036 vl=50.93 ent=0.62 kl=0.0086 | dmae=20.3 | 193g/s 10.6s
E  82 | dev=20.2 med=17 perf=1.5% | pl=+0.0028 vl=49.76 ent=0.62 kl=0.0083 | dmae=20.2 | 195g/s 10.5s
E  83 | dev=20.4 med=17 perf=1.6% | pl=+0.0036 vl=51.74 ent=0.62 kl=0.0064 | dmae=20.4 | 195g/s 10.5s
E  84 | dev=20.2 med=17 perf=1.5% | pl=+0.0033 vl=49.26 ent=0.62 kl=0.0069 | dmae=20.2 | 192g/s 10.7s
E  85 | dev=20.1 med=17 perf=1.5% | pl=+0.0030 vl=51.09 ent=0.63 kl=0.0067 | dmae=20.1 | 197g/s 10.4s
E  86 | dev=19.9 med=17 perf=1.8% | pl=+0.0043 vl=51.15 ent=0.63 kl=0.0074 | dmae=19.9 | 199g/s 10.3s
E  87 | dev=20.2 med=17 perf=1.4% | pl=+0.0040 vl=50.32 ent=0.63 kl=0.0074 | dmae=20.2 | 196g/s 10.4s
E  88 | dev=20.2 med=17 perf=1.7% | pl=+0.0032 vl=51.71 ent=0.62 kl=0.0068 | dmae=20.2 | 194g/s 10.5s
E  89 | dev=19.9 med=17 perf=1.6% | pl=+0.0043 vl=51.25 ent=0.62 kl=0.0072 | dmae=20.0 | 191g/s 10.7s
E  90 | dev=19.7 med=16 perf=1.4% | pl=+0.0047 vl=52.30 ent=0.61 kl=0.0073 | dmae=19.8 | 195g/s 10.5s
E  91 | dev=20.1 med=17 perf=1.7% | pl=+0.0044 vl=51.40 ent=0.61 kl=0.0084 | dmae=20.1 | 191g/s 10.7s
E  92 | dev=19.7 med=16 perf=1.6% | pl=+0.0038 vl=51.01 ent=0.62 kl=0.0078 | dmae=19.7 | 196g/s 10.5s
E  93 | dev=20.0 med=17 perf=1.4% | pl=+0.0036 vl=51.87 ent=0.61 kl=0.0076 | dmae=20.1 | 189g/s 10.8s
E  94 | dev=20.0 med=17 perf=1.8% | pl=+0.0031 vl=52.55 ent=0.61 kl=0.0082 | dmae=20.0 | 193g/s 10.6s
E  95 | dev=20.0 med=17 perf=1.5% | pl=+0.0044 vl=51.34 ent=0.61 kl=0.0075 | dmae=20.0 | 189g/s 10.8s
E  96 | dev=20.0 med=17 perf=1.6% | pl=+0.0041 vl=50.86 ent=0.60 kl=0.0072 | dmae=20.0 | 196g/s 10.4s
E  97 | dev=20.0 med=17 perf=1.7% | pl=+0.0040 vl=51.04 ent=0.60 kl=0.0085 | dmae=20.0 | 186g/s 11.0s
E  98 | dev=19.8 med=16 perf=1.6% | pl=+0.0038 vl=50.37 ent=0.60 kl=0.0078 | dmae=19.8 | 194g/s 10.5s
E  99 | dev=20.2 med=17 perf=1.5% | pl=+0.0046 vl=51.71 ent=0.60 kl=0.0087 | dmae=20.2 | 193g/s 10.6s
  >>> New best: 20.19
E 100 | dev=19.7 med=16 perf=1.6% | pl=+0.0036 vl=51.36 ent=0.60 kl=0.0091 | dmae=19.7 | 197g/s 10.4s
E 101 | dev=19.8 med=16 perf=1.5% | pl=+0.0032 vl=51.87 ent=0.60 kl=0.0073 | dmae=19.8 | 194g/s 10.6s
E 102 | dev=19.9 med=16 perf=1.5% | pl=+0.0043 vl=51.32 ent=0.60 kl=0.0078 | dmae=19.9 | 192g/s 10.7s
E 103 | dev=19.6 med=16 perf=1.5% | pl=+0.0043 vl=50.68 ent=0.59 kl=0.0073 | dmae=19.6 | 195g/s 10.5s
E 104 | dev=19.7 med=16 perf=1.6% | pl=+0.0052 vl=50.99 ent=0.58 kl=0.0091 | dmae=19.7 | 192g/s 10.7s
E 105 | dev=19.8 med=17 perf=1.6% | pl=+0.0034 vl=52.35 ent=0.59 kl=0.0088 | dmae=19.8 | 190g/s 10.8s
E 106 | dev=19.7 med=16 perf=1.7% | pl=+0.0037 vl=51.54 ent=0.59 kl=0.0087 | dmae=19.7 | 190g/s 10.8s
E 107 | dev=19.7 med=16 perf=1.6% | pl=+0.0040 vl=50.42 ent=0.60 kl=0.0081 | dmae=19.7 | 191g/s 10.7s
E 108 | dev=19.7 med=16 perf=1.6% | pl=+0.0040 vl=51.70 ent=0.60 kl=0.0083 | dmae=19.8 | 191g/s 10.7s
E 109 | dev=19.6 med=16 perf=1.7% | pl=+0.0041 vl=51.17 ent=0.60 kl=0.0088 | dmae=19.7 | 191g/s 10.7s
E 110 | dev=19.6 med=16 perf=1.4% | pl=+0.0035 vl=50.67 ent=0.60 kl=0.0075 | dmae=19.6 | 192g/s 10.7s
E 111 | dev=19.8 med=16 perf=1.5% | pl=+0.0044 vl=52.77 ent=0.60 kl=0.0080 | dmae=19.8 | 193g/s 10.6s
E 112 | dev=19.5 med=16 perf=1.7% | pl=+0.0047 vl=50.94 ent=0.60 kl=0.0090 | dmae=19.5 | 194g/s 10.5s
E 113 | dev=19.8 med=17 perf=1.5% | pl=+0.0037 vl=50.90 ent=0.60 kl=0.0090 | dmae=19.8 | 198g/s 10.4s
E 114 | dev=19.6 med=16 perf=1.5% | pl=+0.0048 vl=52.74 ent=0.59 kl=0.0091 | dmae=19.6 | 200g/s 10.3s
E 115 | dev=19.6 med=16 perf=1.4% | pl=+0.0056 vl=49.98 ent=0.59 kl=0.0089 | dmae=19.6 | 196g/s 10.5s
E 116 | dev=19.6 med=16 perf=1.6% | pl=+0.0053 vl=50.66 ent=0.59 kl=0.0086 | dmae=19.6 | 191g/s 10.7s
E 117 | dev=19.7 med=16 perf=1.5% | pl=+0.0050 vl=50.40 ent=0.59 kl=0.0088 | dmae=19.7 | 193g/s 10.6s
E 118 | dev=19.5 med=16 perf=1.6% | pl=+0.0046 vl=51.70 ent=0.59 kl=0.0097 | dmae=19.5 | 191g/s 10.7s
E 119 | dev=19.5 med=16 perf=1.5% | pl=+0.0049 vl=53.26 ent=0.59 kl=0.0093 | dmae=19.4 | 193g/s 10.6s
E 120 | dev=19.3 med=16 perf=1.6% | pl=+0.0048 vl=50.02 ent=0.59 kl=0.0100 | dmae=19.3 | 187g/s 11.0s
E 121 | dev=19.5 med=16 perf=1.5% | pl=+0.0045 vl=51.43 ent=0.59 kl=0.0101 | dmae=19.5 | 194g/s 10.6s
E 122 | dev=19.3 med=16 perf=1.7% | pl=+0.0049 vl=51.32 ent=0.59 kl=0.0091 | dmae=19.3 | 195g/s 10.5s
E 123 | dev=19.5 med=16 perf=1.6% | pl=+0.0058 vl=49.39 ent=0.59 kl=0.0103 | dmae=19.5 | 197g/s 10.4s
E 124 | dev=19.6 med=16 perf=1.6% | pl=+0.0052 vl=51.31 ent=0.59 kl=0.0101 | dmae=19.6 | 193g/s 10.6s
E 125 | dev=19.7 med=16 perf=1.4% | pl=+0.0044 vl=51.38 ent=0.59 kl=0.0088 | dmae=19.7 | 193g/s 10.6s
E 126 | dev=19.3 med=16 perf=1.7% | pl=+0.0049 vl=50.70 ent=0.60 kl=0.0106 | dmae=19.3 | 199g/s 10.3s
